nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV      Tc/K
243  0.250000  0.000000  0.099234  0.001090  5.258322  0.004949  0.007571 31.472873
244  0.251029  0.000000  0.099729  0.000985  6.046519  0.004348  0.007068 31.879474
245  0.252058  0.000000  0.100222  0.001130  7.579305  0.003434  0.006320 32.369798
246  0.253086  0.000000  0.100714  0.001016 22.620516  0.000714  0.003656 32.344533
247  0.254115  0.000000  0.101203  0.001097 11.254127  0.002199  0.005170 33.015031
248  0.255144  0.000000  0.101692  0.000978 13.829173  0.001761  0.004649 33.406217
249  0.256173 -0.000000  0.100934  0.009351 28.493473  0.000432  0.003218 30.571082
250  0.257202 -0.000002  0.100568  0.012101  5.402699  0.004196  0.007366 29.901079
251  0.258230 -0.000005  0.100350  0.013972  4.980136  0.004554  0.007670 29.701452
252  0.259259 -0.000008  0.100192  0.015490  4.746715  0.004767  0.007856 29.564108
253  0.260288 -0.000012  0.100066  0.016802  4.589358  0.004919  0.007989 29.463556
254  0.261317 -0.000016  0.099969  0.017955  4.483711  0.005025  0.008083 29.391265
255  0.262346 -0.000058  0.096613  0.030782  3.479855  0.006706  0.009212 29.442948
256  0.263374 -0.000027  0.099825  0.019990  9.019581  0.001477  0.005710 25.050482
257  0.264403 -0.000033  0.099770  0.020910  6.808344  0.002393  0.006573 26.621974
258  0.265432 -0.000088  0.096768  0.033059  3.443844  0.006809  0.009257 29.481375
259  0.266461 -0.000047  0.099683  0.022589 26.126322  0.000423  0.003365 28.891092
260  0.267490 -0.000055  0.099648  0.023376 15.313862  0.000939  0.004399 29.132898
261  0.268519 -0.000063  0.099621  0.024114 12.571664  0.001198  0.004856 28.661998
262  0.269547 -0.000072  0.099589  0.024848 10.786635  0.001460  0.005243 28.434297
263  0.270576 -0.000096  0.099396  0.032846 18.219173  0.000518  0.004068 24.251652
264  0.271605 -0.000106  0.099422  0.033757 19.211773  0.000556  0.003964 26.602052
265  0.272634 -0.000101  0.099523  0.026881  8.513063  0.002016  0.005905 28.402369
