nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
  0  0.000000  0.000000 -0.943859  0.001060  0.000002  0.023622  0.026175  0.000000  0.000000
  6  0.006173  0.000000 -0.228354  0.000856  0.018501  0.022883  0.026048 -0.000000  0.000000
 12  0.012346  0.000000 -0.177783  0.000879  0.037743  0.022789  0.025721 -0.000000  0.000000
 18  0.018519  0.000000 -0.146934  0.000897  0.057681  0.022649  0.025385 -0.000000  0.000000
 24  0.024691  0.000000 -0.124245  0.000903  0.078275  0.022473  0.025042 -0.000000  0.000000
 30  0.030864  0.000000 -0.106087  0.000827  0.099496  0.022268  0.024695  0.000000  0.000000
 36  0.037037  0.000000 -0.090839  0.000933  0.121329  0.022041  0.024347 -0.000000  0.000000
 42  0.043210  0.000000 -0.077633  0.000890  0.143770  0.021796  0.023998  0.000000  0.000000
 48  0.049383  0.000000 -0.065946  0.000879  0.166827  0.021538  0.023649 -0.000000  0.000000
 54  0.055556  0.000000 -0.055439  0.000943  0.190521  0.021270  0.023302 -0.000000  0.000000
 60  0.061728  0.000000 -0.045876  0.000876  0.214883  0.020992  0.022956 -0.000000  0.000002
 66  0.067901  0.000000 -0.037090  0.000878  0.239957  0.020708  0.022611 -0.000000  0.000133
 72  0.074074  0.000000 -0.028953  0.001145  0.265795  0.020417  0.022267  0.000000  0.001994
 78  0.080247  0.000000 -0.021368  0.001000  0.292461  0.020122  0.021924  0.000000  0.012289
 84  0.086420  0.000000 -0.014257  0.000976  0.320032  0.019822  0.021582 -0.000000  0.045329
 90  0.092593  0.000000 -0.007561  0.000903  0.348596  0.019517  0.021240 -0.000000  0.121039
 96  0.098765  0.000000 -0.001227  0.000906  0.378257  0.019208  0.020897  0.000000  0.260299
102  0.104938  0.000000  0.004785  0.001115  0.409133  0.018895  0.020554  0.000000  0.480806
108  0.111111  0.000000  0.010511  0.001028  0.441360  0.018576  0.020209 -0.000000  0.794878
114  0.117284  0.000000  0.015979  0.000897  0.475098  0.018253  0.019862 -0.000000  1.208991
120  0.123457  0.000000  0.021216  0.000866  0.510530  0.017923  0.019513 -0.000000  1.724402
126  0.129630  0.000000  0.026243  0.000950  0.547871  0.017588  0.019160 -0.000000  2.338225
132  0.135802  0.000000  0.031078  0.001184  0.587373  0.017245  0.018803 -0.000000  3.044563
138  0.141975  0.000000  0.035739  0.000991  0.629331  0.016894  0.018440 -0.000000  3.835517
144  0.148148  0.000000  0.040239  0.000912  0.674102  0.016535  0.018072 -0.000000  4.701985
150  0.154321  0.000000  0.044592  0.000963  0.722109  0.016165  0.017697 -0.000000  5.634252
156  0.160494  0.000000  0.048809  0.000876  0.773872  0.015784  0.017313 -0.000000  6.622398
162  0.166667  0.000000  0.052900  0.000962  0.830028  0.015389  0.016920 -0.000000  7.656554
168  0.172840  0.000000  0.056873  0.001244  0.891373  0.014980  0.016516 -0.000000  8.727042
174  0.179012  0.000000  0.060738  0.000959  0.958916  0.014553  0.016098 -0.000000  9.824419
180  0.185185  0.000000  0.064501  0.000948  1.033962  0.014106  0.015665 -0.000000 10.939450
186  0.191358  0.000000  0.068169  0.000890  1.118233  0.013634  0.015214  0.000000 12.063030
192  0.197531  0.000000  0.071747  0.000879  1.214062  0.013134  0.014740  0.000000 13.186032
198  0.203704  0.000000  0.075243  0.000919  1.324706  0.012600  0.014240 -0.000000 14.299118
204  0.209877  0.000000  0.078659  0.001061  1.454888  0.012023  0.013707 -0.000000 15.392485
210  0.216049  0.000000  0.082002  0.000986  1.611783  0.011393  0.013132  0.000000 16.455549
216  0.222222  0.000000  0.085275  0.001085  1.806990  0.010693  0.012502  0.000000 17.476610
222  0.228395  0.000000  0.088482  0.000754  2.060859  0.009897  0.011797  0.000000 18.442617
228  0.234568  0.000000  0.091626  0.000974  2.413618  0.008962  0.010982  0.000000 19.339773
234  0.240741  0.000000  0.094711  0.001026  2.961226  0.007801  0.009986 -0.000000 20.158327
240  0.246914  0.000000  0.097740  0.001065  4.032366  0.006187  0.008617 -0.000000 20.921509
246  0.253086  0.000000  0.100714  0.001000 21.203431  0.000773  0.003776 -0.000288 19.277263
