       nel       xel     dE/eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
  8.000000  0.000000  0.000000 -0.763225  0.000003  0.000007  0.023101  0.026367 -0.000000  0.000000
  8.040000  0.010000  0.000000 -0.193375  0.000005  0.030318  0.022954  0.025863 -0.000000  0.000000
  8.080000  0.020000  0.000000 -0.140950  0.000002  0.062568  0.022696  0.025311 -0.000000  0.000005
  8.120000  0.030000  0.000000 -0.108490  0.000001  0.096547  0.022359  0.024747  0.000000  0.001608
  8.160000  0.040000  0.000000 -0.084380  0.000002  0.132121  0.021969  0.024178 -0.000000  0.028774
  8.200000  0.050000  0.000000 -0.064956  0.000001  0.169244  0.021543  0.023611  0.000000  0.158943
  8.240000  0.060000  0.000000 -0.048573  0.000003  0.207969  0.021092  0.023046  0.000000  0.489841
  8.280000  0.070000  0.000000 -0.034340  0.000003  0.248452  0.020625  0.022486  0.000000  1.084985
  8.320000  0.080000  0.000000 -0.021718  0.000002  0.290945  0.020145  0.021930 -0.000000  1.959356
  8.360000  0.090000  0.000000 -0.010354  0.000002  0.335789  0.019654  0.021375 -0.000000  3.092574
  8.400000  0.100000  0.000000 -0.000000  0.000002  0.383420  0.019152  0.020821  0.000000  4.446406
  8.440000  0.110000  0.000000  0.009524  0.000003  0.434375  0.018638  0.020264 -0.000000  5.976982
  8.480000  0.120000  0.000000  0.018356  0.000003  0.489322  0.018112  0.019701  0.000000  7.641694
  8.520000  0.130000  0.000000  0.026599  0.000004  0.549091  0.017569  0.019130 -0.000000  9.402008
  8.560000  0.140000  0.000000  0.034338  0.000003  0.614751  0.017008  0.018548  0.000000 11.225003
  8.600000  0.150000  0.000000  0.041640  0.000004  0.687681  0.016423  0.017949  0.000000 13.082500
  8.640000  0.160000  0.000000  0.048560  0.000005  0.769756  0.015811  0.017331 -0.000000 14.951818
  8.680000  0.170000  0.000000  0.055144  0.000005  0.863540  0.015163  0.016686  0.000000 16.813890
  8.720000  0.180000  0.000000  0.061430  0.000003  0.972742  0.014472  0.016009 -0.000000 18.654017
  8.760000  0.190000  0.000000  0.067449  0.000003  1.102932  0.013725  0.015289  0.000000 20.461102
  8.800000  0.200000  0.000000  0.073230  0.000002  1.262954  0.012904  0.014511  0.000000 22.227955
  8.840000  0.210000  0.000000  0.078796  0.000002  1.468093  0.011984  0.013656  0.000000 23.953833
  8.880000  0.220000  0.000000  0.084167  0.000007  1.747666  0.010918  0.012687  0.000000 25.648535
  8.920000  0.230000  0.000000  0.089360  0.000003  2.168330  0.009620  0.011535  0.000000 27.347238
  8.960000  0.240000  0.000000  0.094391  0.000002  2.936815  0.007880  0.010030 -0.000000 29.166392
  9.000000  0.250000  0.000000  0.099274  0.000003  5.844375  0.004419  0.007190 -0.000000 31.656972
  9.040000  0.260000 -0.000006  0.100893  0.014666  6.159983  0.003669  0.006901 -0.002020 30.229043
  9.080000  0.270000 -0.000065  0.100223  0.024206  5.389859  0.004014  0.007381 -0.001903 29.401463
  9.120000  0.280000 -0.000172  0.100101  0.030324 54.012296  0.000240  0.002342 -0.001738 33.678214
  9.160000  0.290000 -0.000325  0.100148  0.035257 15.135877  0.001258  0.004456 -0.001535 32.053445
  9.200000  0.300000 -0.000519  0.100291  0.039520  8.161486  0.002850  0.006082 -0.001230 31.636281
  9.240000  0.310000 -0.000755  0.100508  0.043339  6.741473  0.003792  0.006705 -0.000650 31.946041
  9.280000  0.320000 -0.001029  0.100800  0.046834  9.414086  0.002587  0.005711  0.000000 32.644076
  9.320000  0.330000 -0.001341  0.101172  0.050074  6.947388  0.004005  0.006648  0.000000 32.826807
  9.360000  0.340000 -0.001689  0.101626  0.053111  6.327957  0.004584  0.006961 -0.000000 32.903915
  9.400000  0.350000 -0.002070  0.102174  0.055976  6.140556  0.004803  0.007057 -0.000000 32.922600
  9.440000  0.360000 -0.002484  0.102820  0.058695  6.152376  0.004812  0.007035 -0.000000 32.894106
  9.480000  0.370000 -0.002929  0.103567  0.061285  6.290226  0.004675  0.006937  0.000000 32.814394
  9.520000  0.380000 -0.003403  0.104419  0.063766  6.510758  0.004437  0.006794 -0.000000 32.669330
  9.560000  0.390000 -0.003904  0.105377  0.066145  6.726187  0.004179  0.006657  0.000000 32.443234
  9.600000  0.400000 -0.004431  0.106438  0.068434  6.752573  0.004039  0.006612 -0.000000 32.124233
  9.640000  0.410000 -0.004982  0.107605  0.070642  6.449567  0.004125  0.006731  0.000000 31.718202
  9.680000  0.420000 -0.005556  0.108874  0.072776  5.889943  0.004433  0.007005 -0.000000 31.249371
  9.720000  0.430000 -0.006151  0.110242  0.074840  5.273590  0.004858  0.007361 -0.000000 30.743120
  9.760000  0.440000 -0.006766  0.111703  0.076842  4.713174  0.005317  0.007739  0.000000 30.215464
  9.800000  0.450000 -0.007399  0.113254  0.078787  4.236352  0.005768  0.008113 -0.000000 29.681587
  9.840000  0.460000 -0.008049  0.114889  0.080679  3.837572  0.006199  0.008471 -0.000000 29.151838
  9.880000  0.470000 -0.008714  0.116606  0.082521  3.506181  0.006601  0.008807  0.000000 28.633964
  9.920000  0.480000 -0.009394  0.118400  0.084315  3.229618  0.006972  0.009118 -0.000000 28.130139
  9.960000  0.490000 -0.010088  0.120263  0.086067  2.997277  0.007311  0.009405 -0.000000 27.640199
 10.000000  0.500000 -0.010794  0.122194  0.087779  2.801678  0.007616  0.009667 -0.000000 27.165263
 10.040000  0.510000 -0.011511  0.124188  0.089453  2.635916  0.007888  0.009904 -0.000000 26.704165
 10.080000  0.520000 -0.012239  0.126240  0.091089  2.495202  0.008127  0.010116 -0.000000 26.257786
 10.120000  0.530000 -0.012976  0.128349  0.092693  2.375103  0.008334  0.010305 -0.000000 25.825466
 10.160000  0.540000 -0.013722  0.130508  0.094266  2.272195  0.008511  0.010472 -0.000000 25.407362
 10.200000  0.550000 -0.014476  0.132717  0.095807  2.183848  0.008660  0.010617  0.000000 25.004389
 10.240000  0.560000 -0.015237  0.134971  0.097318  2.107934  0.008783  0.010743  0.000000 24.617929
 10.280000  0.570000 -0.016004  0.137267  0.098804  2.042277  0.008882  0.010852  0.000000 24.247423
 10.320000  0.580000 -0.016777  0.139605  0.100263  1.985620  0.008961  0.010944  0.000000 23.894895
 10.360000  0.590000 -0.017555  0.141980  0.101697  1.936633  0.009022  0.011021  0.000000 23.560843
 10.400000  0.600000 -0.018337  0.144390  0.103106  1.894197  0.009067  0.011085  0.000000 23.245548
