       xel     dE/eV     N0*eV     mu/eV    |u|/AA     lamda   wlog/eV   w2nd/eV   wmin/eV      Tc/K
  0.000000  0.000000  0.000018 -0.763587  0.000001  0.000007  0.023101  0.026367  0.000000  0.000000
  0.010000  0.000000  0.068003 -0.193375  0.000001  0.030318  0.022954  0.025863  0.000000  0.000000
  0.020000  0.000000  0.127954 -0.140950  0.000002  0.062568  0.022696  0.025311 -0.000000  0.000000
  0.030000  0.000000  0.182640 -0.108490  0.000001  0.096547  0.022359  0.024747  0.000000  0.000000
  0.040000  0.000000  0.233728 -0.084380  0.000005  0.132122  0.021969  0.024178 -0.000000  0.000000
  0.050000  0.000000  0.282283 -0.064957  0.000002  0.169244  0.021543  0.023611  0.000000  0.000000
  0.060000  0.000000  0.329010 -0.048573  0.000002  0.207969  0.021092  0.023046  0.000000  0.000000
  0.070000  0.000000  0.374360 -0.034340  0.000003  0.248452  0.020625  0.022486  0.000000  0.000375
  0.080000  0.000000  0.418610 -0.021718  0.000002  0.290945  0.020145  0.021930 -0.000000  0.011281
  0.090000  0.000000  0.461915 -0.010355  0.000003  0.335789  0.019654  0.021375 -0.000000  0.080797
  0.100000  0.000000  0.504356 -0.000000  0.000002  0.383420  0.019152  0.020821 -0.000000  0.291605
  0.110000  0.000000  0.545962  0.009524  0.000002  0.434376  0.018638  0.020264 -0.000000  0.719500
  0.120000  0.000000  0.586736  0.018356  0.000005  0.489323  0.018112  0.019701 -0.000000  1.406326
  0.130000  0.000000  0.626666  0.026599  0.000005  0.549092  0.017569  0.019130  0.000000  2.358239
  0.140000  0.000000  0.665744  0.034338  0.000004  0.614752  0.017008  0.018548 -0.000000  3.555867
  0.150000  0.000000  0.703952  0.041640  0.000002  0.687683  0.016423  0.017949  0.000000  4.964662
  0.160000  0.000000  0.741284  0.048560  0.000005  0.769752  0.015811  0.017331  0.000000  6.543537
  0.170000  0.000000  0.777739  0.055144  0.000006  0.863538  0.015163  0.016687 -0.000000  8.249511
  0.180000  0.000000  0.813317  0.061430  0.000003  0.972741  0.014472  0.016009  0.000000 10.040132
  0.190000  0.000000  0.848028  0.067449  0.000002  1.102933  0.013725  0.015289  0.000000 11.874345
  0.200000  0.000000  0.881880  0.073230  0.000002  1.262961  0.012904  0.014511 -0.000000 13.711448
  0.210000  0.000000  0.914894  0.078796  0.000003  1.468106  0.011984  0.013656  0.000000 15.510189
  0.220000  0.000000  0.947085  0.084167  0.000003  1.747646  0.010918  0.012687 -0.000000 17.225168
  0.230000  0.000000  0.978482  0.089360  0.000005  2.168349  0.009620  0.011535 -0.000000 18.805035
  0.240000  0.000000  1.009105  0.094391  0.000037  2.936818  0.007880  0.010030  0.000000 20.195636
