  doping/e     lamda   wlog/eV   w2nd/eV      Tc/K    |u|/AA
  0.000000  0.001048  0.023321  0.026005  0.000000  0.000027
  0.010000  0.118775  0.022989  0.025456  0.012425  0.000027
  0.020000  0.165680  0.022567  0.024950  0.145862  0.000026
  0.030000  0.203925  0.022154  0.024460  0.465850  0.000027
  0.040000  0.238715  0.021743  0.023975  0.963723  0.000029
  0.050000  0.272011  0.021330  0.023494  1.615556  0.000031
  0.060000  0.304849  0.020914  0.023014  2.397602  0.000029
  0.070000  0.337904  0.020493  0.022532  3.289316  0.000029
  0.080000  0.371696  0.020066  0.022048  4.273556  0.000028
  0.090000  0.406684  0.019631  0.021559  5.336163  0.000028
  0.100000  0.443317  0.019186  0.021065  6.465453  0.000027
  0.110000  0.482075  0.018730  0.020563  7.651740  0.000028
  0.120000  0.523501  0.018259  0.020051  8.886922  0.000028
  0.130000  0.568242  0.017771  0.019527 10.164127  0.000029
  0.140000  0.617097  0.017262  0.018989 11.477403  0.000027
  0.150000  0.671083  0.016730  0.018433 12.821462  0.000028
  0.160000  0.731547  0.016167  0.017854 14.191452  0.000026
  0.170000  0.800323  0.015568  0.017249 15.582759  0.000027
  0.180000  0.880016  0.014924  0.016611 16.990858  0.000028
  0.190000  0.974497  0.014223  0.015929 18.411215  0.000027
  0.200000  1.089864  0.013445  0.015191 19.839346  0.000028
  0.210000  1.236479  0.012565  0.014377 21.271282  0.000024
  0.220000  1.433958  0.011534  0.013451 22.705281  0.000030
  0.230000  1.726092  0.010263  0.012348 24.148010  0.000031
  0.240000  2.244472  0.008533  0.010902 25.641677  0.000023
  0.250000  3.899059  0.005331  0.008324 27.493389  0.000072
  0.260000  6.185379  0.002282  0.006582 23.604025  0.040767
  0.270000  3.116278  0.006091  0.009225 25.820361  0.060111
  0.280000  2.885078  0.006513  0.009548 25.527790  0.073031
  0.290000  2.672327  0.007083  0.009884 25.503563  0.083250
  0.300000  3.161955  0.005655  0.009069 24.893004  0.089067
  0.310000  2.891654  0.006235  0.009445 24.835876  0.095396
  0.320000  2.728496  0.006752  0.009691 25.037958  0.101194
  0.330000  2.781958  0.006577  0.009563 24.923161  0.105420
  0.340000  2.489217  0.007398  0.010078 24.867827  0.111892
  0.350000  2.476188  0.007373  0.010078 24.711137  0.117604
  0.360000  2.581463  0.007024  0.009848 24.630004  0.122694
  0.370000  2.827610  0.006338  0.009391 24.543878  0.127313
  0.380000  3.854781  0.003972  0.008028 22.842446  0.131589
  0.390000  5.147785  0.002874  0.006924 23.200125  0.135637
  0.400000  2.295463  0.007687  0.010298 23.994663  0.144069
  0.410000  2.172959  0.008062  0.010553 23.816188  0.148724
  0.420000  2.122739  0.008205  0.010647 23.687624  0.153014
  0.430000  2.305365  0.007565  0.010190 23.748635  0.156140
  0.440000  2.550524  0.006615  0.009671 23.352251  0.160264
  0.450000  2.536623  0.006551  0.009667 23.099464  0.164284
  0.460000  2.441153  0.006959  0.009826 23.353676  0.168110
  0.470000  2.746963  0.005856  0.009237 22.678087  0.171777
  0.480000  2.637326  0.006068  0.009386 22.516651  0.175703
  0.490000  2.964113  0.005181  0.008836 22.067554  0.179456
  0.500000  2.945156  0.005249  0.008835 22.127941  0.183394
  0.510000  3.067052  0.004903  0.008630 21.772741  0.186975
  0.520000  3.754407  0.003574  0.007776 20.521173  0.190481
  0.530000  3.224660  0.004696  0.008364 21.911241  0.193894
  0.540000  3.207509  0.004667  0.008354 21.710077  0.197803
  0.550000  3.455581  0.004153  0.008022 21.232763  0.201056
  0.560000  4.235527  0.003123  0.007222 20.557420  0.204209
  0.570000  4.285914  0.003171  0.007146 20.942728  0.207291
  0.580000  3.883473  0.003706  0.007480 21.451816  0.210693
  0.590000  9.188386  0.001549  0.004855 24.239956  0.212784
  0.600000  4.470712  0.003331  0.006934 22.215883  0.216148
