  doping/e     lamda   wlog/eV   w2nd/eV      Tc/K    |u|/AA
  0.000000  0.001048  0.023322  0.026005  0.000000  0.000340
  0.010000  0.118775  0.022989  0.025456  0.012425  0.000290
  0.020000  0.165680  0.022567  0.024950  0.145862  0.000301
  0.030000  0.203925  0.022154  0.024460  0.465850  0.000643
  0.040000  0.238715  0.021743  0.023975  0.963723  0.000423
  0.050000  0.272011  0.021330  0.023494  1.615556  0.000733
  0.060000  0.304849  0.020914  0.023014  2.397602  0.000680
  0.070000  0.337904  0.020493  0.022532  3.289316  0.000293
  0.080000  0.371696  0.020066  0.022048  4.273556  0.000389
  0.090000  0.406684  0.019631  0.021559  5.336163  0.000587
  0.100000  0.443317  0.019186  0.021065  6.465453  0.000668
  0.110000  0.482075  0.018730  0.020563  7.651740  0.000358
  0.120000  0.523501  0.018259  0.020051  8.886922  0.000596
  0.130000  0.568242  0.017771  0.019527 10.164127  0.000331
  0.140000  0.617097  0.017262  0.018989 11.477403  0.000512
  0.150000  0.671083  0.016730  0.018433 12.821463  0.000678
  0.160000  0.731547  0.016167  0.017854 14.191452  0.000464
  0.170000  0.800323  0.015568  0.017249 15.582759  0.000516
  0.180000  0.880016  0.014924  0.016611 16.990858  0.000605
  0.190000  0.974497  0.014223  0.015929 18.411215  0.000673
  0.200000  1.089864  0.013445  0.015191 19.839346  0.000687
  0.210000  1.236479  0.012565  0.014377 21.271281  0.000746
  0.220000  1.433958  0.011534  0.013451 22.705282  0.000569
  0.230000  1.726092  0.010263  0.012348 24.148011  0.000695
  0.240000  2.244472  0.008533  0.010902 25.641678  0.000543
  0.250000  3.899061  0.005331  0.008324 27.493393  0.000522
  0.260000  6.500069  0.002083  0.006421 23.192269  0.040779
  0.270000  3.044628  0.006305  0.009332 25.941561  0.063716
  0.280000  3.222020  0.005756  0.009045 25.510985  0.075243
  0.290000 27.907086  0.000277  0.003070 23.633468  0.073966
  0.300000  8.762995  0.001599  0.005475 25.038288  0.080571
  0.310000  4.900391  0.003588  0.007301 25.699630  0.088034
  0.320000  4.071319  0.004763  0.007987 26.435712  0.094882
  0.330000  3.750851  0.005404  0.008296 26.779590  0.101254
  0.340000  3.615915  0.005723  0.008425 26.923432  0.107246
  0.350000  3.574389  0.005837  0.008448 26.956785  0.112916
  0.360000  3.586590  0.005818  0.008408 26.917914  0.118314
  0.370000  3.627979  0.005719  0.008334 26.820866  0.123471
  0.380000  3.676329  0.005583  0.008253 26.667545  0.128419
  0.390000  3.703223  0.005460  0.008198 26.459386  0.133173
  0.400000  3.674027  0.005414  0.008204 26.209566  0.137756
  0.410000  3.565498  0.005497  0.008302 25.942520  0.142181
  0.420000  3.387567  0.005717  0.008490 25.677780  0.146461
  0.430000  3.175397  0.006034  0.008742 25.418938  0.150604
  0.440000  2.961857  0.006401  0.009023 25.161557  0.154625
  0.450000  2.764737  0.006778  0.009309 24.902489  0.158528
  0.460000  2.590184  0.007145  0.009587 24.641535  0.162326
  0.470000  2.438521  0.007489  0.009849 24.379734  0.166020
  0.480000  2.307788  0.007807  0.010091 24.118154  0.169621
  0.490000  2.195469  0.008093  0.010313 23.857866  0.173133
  0.500000  2.099004  0.008349  0.010513 23.599709  0.176562
  0.510000  2.016139  0.008573  0.010693 23.344707  0.179915
  0.520000  1.944837  0.008768  0.010852 23.093640  0.183192
  0.530000  1.883457  0.008934  0.010992 22.847691  0.186401
  0.540000  1.830510  0.009074  0.011113 22.607613  0.189545
  0.550000  1.784759  0.009190  0.011219 22.374175  0.192628
  0.560000  1.745196  0.009284  0.011308 22.148259  0.195652
  0.570000  1.710946  0.009359  0.011384 21.930494  0.198621
  0.580000  1.681237  0.009417  0.011447 21.721207  0.201537
  0.590000  1.655476  0.009461  0.011499 21.520936  0.204404
  0.600000  1.633120  0.009491  0.011540 21.329816  0.207223
