  doping/e     lamda   wlog/eV   w2nd/eV      Tc/K    |u|/AA
  0.000000  0.001044  0.023306  0.025963  0.000000  0.000021
  0.010000  0.118775  0.022989  0.025456  0.012425  0.000013
  0.020000  0.165680  0.022567  0.024950  0.145862  0.000013
  0.030000  0.203925  0.022154  0.024460  0.465850  0.000063
  0.040000  0.238715  0.021743  0.023975  0.963723  0.000034
  0.050000  0.272011  0.021330  0.023494  1.615556  0.000058
  0.060000  0.304849  0.020914  0.023014  2.397602  0.000054
  0.070000  0.337904  0.020493  0.022532  3.289316  0.000052
  0.080000  0.371696  0.020066  0.022048  4.273556  0.000019
  0.090000  0.406684  0.019631  0.021559  5.336163  0.000046
  0.100000  0.443317  0.019186  0.021065  6.465453  0.000059
  0.110000  0.482075  0.018730  0.020563  7.651740  0.000058
  0.120000  0.523501  0.018259  0.020051  8.886922  0.000056
  0.130000  0.568242  0.017771  0.019527 10.164126  0.000052
  0.140000  0.617097  0.017262  0.018989 11.477403  0.000050
  0.150000  0.671083  0.016730  0.018433 12.821463  0.000047
  0.160000  0.731547  0.016167  0.017854 14.191452  0.000043
  0.170000  0.800323  0.015568  0.017249 15.582759  0.000039
  0.180000  0.880016  0.014924  0.016611 16.990858  0.000037
  0.190000  0.974497  0.014223  0.015929 18.411215  0.000032
  0.200000  1.089864  0.013445  0.015191 19.839346  0.000038
  0.210000  1.236479  0.012565  0.014377 21.271282  0.000027
  0.220000  1.433958  0.011534  0.013451 22.705282  0.000017
  0.230000  1.726092  0.010263  0.012348 24.148010  0.000029
  0.240000  2.244472  0.008533  0.010902 25.641678  0.000035
  0.250000  3.899057  0.005331  0.008324 27.493381  0.000060
  0.260000  6.191541  0.002279  0.006579 23.602668  0.040753
  0.270000  2.686577  0.007168  0.009919 25.823710  0.064036
  0.280000  2.885182  0.006513  0.009548 25.528093  0.073032
  0.290000  2.672259  0.007083  0.009885 25.503255  0.083252
  0.300000  3.162209  0.005654  0.009069 24.890908  0.089081
  0.310000  2.892249  0.006233  0.009444 24.834951  0.095396
  0.320000  2.728301  0.006753  0.009691 25.038261  0.101191
  0.330000  2.782083  0.006577  0.009563 24.923225  0.105420
  0.340000  2.489048  0.007398  0.010078 24.867656  0.111893
  0.350000  2.476089  0.007373  0.010078 24.711040  0.117604
  0.360000  2.581258  0.007025  0.009848 24.629947  0.122695
  0.370000  2.827295  0.006339  0.009391 24.544656  0.127312
  0.380000  3.998235  0.003690  0.007882 22.390946  0.131589
  0.390000  2.604694  0.006781  0.009700 24.156417  0.138960
  0.400000  2.821348  0.006261  0.009315 24.242354  0.143054
  0.410000  2.172923  0.008062  0.010553 23.816142  0.148725
  0.420000  2.122685  0.008205  0.010647 23.687461  0.153016
  0.430000  2.955304  0.005379  0.009008 22.704246  0.157159
  0.440000  2.761009  0.005494  0.009297 21.890544  0.166778
  0.450000  2.574527  0.006245  0.009606 22.644462  0.170693
  0.460000  2.707233  0.005917  0.009348 22.635927  0.174294
  0.470000  2.349447  0.007235  0.009985 23.299597  0.171797
  0.480000  2.606748  0.006198  0.009466 22.661750  0.178592
  0.490000  2.606987  0.006225  0.009428 22.694299  0.181048
  0.500000  2.373250  0.006606  0.009853 22.066767  0.188099
  0.510000  2.548944  0.006076  0.009481 21.946697  0.191399
  0.520000  2.684298  0.005480  0.009211 21.235875  0.195003
  0.530000  2.651052  0.005675  0.009247 21.534029  0.199556
  0.540000  2.318260  0.006551  0.009846 21.486295  0.204912
  0.550000  3.433672  0.002841  0.008049 15.516953  0.207365
  0.560000  2.269473  0.006414  0.009856 20.779699  0.212005
  0.570000  3.977952  0.002255  0.007437 14.649446  0.220325
  0.580000  2.533800  0.005272  0.009302 19.622567  0.223560
  0.590000  2.352246  0.005716  0.009626 19.613012  0.226756
  0.600000  3.130647  0.003638  0.008332 17.587001  0.229554
